Hiragana,Romaji,Kanji,English_Meaning,Example
ぶつぞう,butsuzou,仏像,Buddhist image (statue),仏像…ぶつぞう
ぶつぶつ,butsubutsu,,grumbling;complaining in a small voice,…ぶつぶつ
ぶつり,butsuri,物理,physics,物理…ぶつり
ぶなん,bunan,無難,safety;security,無難…ぶなん
ぶひん,buhin,部品,parts;accessories,部品…ぶひん
ぶぶん,bubun,部分,portion;section;part,部分…ぶぶん
ぶもん,bumon,部門,class;group;category;department;field;branch,部門…ぶもん
ぶらさげる,burasageru,ぶら下げる,to hang;to suspend;to dangle;to swing,ぶら下げる…ぶらさげる
ぶらぶら,burabura,,dangle heavily;swing;sway to and fro;aimlessly;idly;lazily;loiter;loaf;be idle;stroll idly,…ぶらぶら
ぶりょく,buryoku,武力,armed might;military power;the sword;force,武力…ぶりょく
ぶれい,burei,無礼,impolite;rude,無礼…ぶれい
ぶんか,bunka,文化,culture;civilization,文化…ぶんか
ぶんかい,bunkai,分解,analysis;disassembly,分解…ぶんかい
ぶんかざい,bunkazai,文化財,cultural assets;cultural property,文化財…ぶんかざい
ぶんがく,bungaku,文学,literature,文学…ぶんがく
ぶんぎょう,bungyou,分業,division of labor;specialization;assembly-line production,分業…ぶんぎょう
ぶんけん,bunken,文献,literature;books (reference),文献…ぶんけん
ぶんげい,bungei,文芸,literature;art and literature;belles-lettres,文芸…ぶんげい
ぶんご,bungo,文語,written language;literary language,文語…ぶんご
ぶんさん,bunsan,分散,dispersion;decentralization;variance (statistics),分散…ぶんさん
ぶんし,bunshi,分子,numerator;molecule,分子…ぶんし
ぶんしょ,bunsho,文書,document;writing;letter;note;records;archives,文書…ぶんしょ
ぶんしょう,bunshou,文章,sentence;article,文章…ぶんしょう
ぶんすう,bunsuu,分数,fraction (in math),分数…ぶんすう
ぶんせき,bunseki,分析,analysis,分析…ぶんせき
ぶんたい,buntai,文体,literary style,文体…ぶんたい
ぶんたん,buntan,分担,apportionment;sharing,分担…ぶんたん
ぶんぱい,bunpai,分配,division;sharing,分配…ぶんぱい
ぶんぷ,bunpu,分布,distribution,分布…ぶんぷ
ぶんぼ,bunbo,分母,denominator,分母…ぶんぼ
ぶんぼうぐ,bunbougu,文房具,stationery,文房具…ぶんぼうぐ
ぶんぽう,bunpou,文法,grammar,文法…ぶんぽう
ぶんみゃく,bunmyaku,文脈,context,文脈…ぶんみゃく
ぶんめい,bunmei,文明,civilization;culture,文明…ぶんめい
ぶんや,bunya,分野,field;sphere;realm;division;branch,分野…ぶんや
ぶんり,bunri,分離,separation;detachment;segregation;isolation,分離…ぶんり
ぶんりょう,bunryou,分量,amount;quantity,分量…ぶんりょう
ぶんるい,bunrui,分類,classification,分類…ぶんるい
ぶんれつ,bunretsu,分裂,split;division;break up,分裂…ぶんれつ
へい,hei,塀,wall;fence,塀…へい
へいかい,heikai,閉会,closure,閉会…へいかい
へいき,heiki,兵器,arms;weapons;ordinance,兵器…へいき
へいき,heiki,平気,coolness;calmness;composure;unconcern,平気…へいき
へいこう,heikou,並行,(going) side by side;concurrent;abreast;at the same time;occurring together;parallel;parallelism,並行…へいこう
へいこう,heikou,閉口,shut mouth,閉口…へいこう
へいこう,heikou,平行,(going) side by side;concurrent;abreast;at the same time;occurring together;parallel;parallelism,平行…へいこう
へいさ,heisa,閉鎖,closing;closure;shutdown;lockout;unsociable,閉鎖…へいさ
へいし,heishi,兵士,soldier,兵士…へいし
へいじつ,heijitsu,平日,weekday;ordinary days,平日…へいじつ
へいじょう,heijyou,平常,normal;usual,平常…へいじょう
へいたい,heitai,兵隊,soldier;sailor,兵隊…へいたい
へいほう,heihou,平方,square (e.g. metre);square,平方…へいほう
へいぼん,heibon,平凡,common;commonplace;ordinary;mediocre,平凡…へいぼん
へいや,heiya,平野,plain;open field,平野…へいや
へいれつ,heiretsu,並列,arrangement;parallel;abreast,並列…へいれつ
へいわ,heiwa,平和,peace;harmony,平和…へいわ
へきえき,hekieki,辟易,wince;shrink back;succumbing to;being frightened;disconcerted,辟易…へきえき
へこむ,hekomu,凹む,to be dented;to be indented;to yield to;to give;to sink;to collapse;to cave in;to be snubbed,凹む…へこむ
へそ,heso,臍,navel;belly-button,臍…へそ
へた,heta,下手,unskillful;poor;awkward,下手…へた
へだたる,hedataru,隔たる,to be distant,隔たる…へだたる
へだてる,hedateru,隔てる,to be shut out,隔てる…へだてる
へや,heya,部屋,room,部屋…へや
へらす,herasu,減らす,to abate;to decrease;to diminish;to shorten,減らす…へらす
へりくだる,herikudaru,謙る,to deprecate oneself and praise the listener,謙る…へりくだる
へる,heru,減る,to decrease (in size or number);to diminish;to abate,減る…へる
へる,heru,経る,to pass;to elapse;to experience,経る…へる
へる,heru,経る,to pass;to elapse;to experience,経る…へる
へん,hen,変,change;incident;disturbance;strange;flat (music);odd;peculiar;suspicious-looking;queer;eccentric;funny,変…へん
へん,hen,辺,area;vicinity,辺…へん
へん,hen,編,compilation;editing;completed poem;book;part of book,編…へん
へん,hen,偏,side;left radical of a character;inclining;inclining toward;biased,偏…へん
へんか,henka,変化,change;variation;alteration;mutation;transition;transformation;transfiguration;metamorphosis;variety;diversity;inflection;declension;conjugation,変化…へんか
へんかく,henkaku,変革,change;reform;revolution;upheaval;(the) Reformation,変革…へんかく
へんかん,henkan,返還,return;restoration,返還…へんかん
へんけん,henken,偏見,prejudice;narrow view,偏見…へんけん
へんこう,henkou,変更,change;modification;alteration,変更…へんこう
へんさい,hensai,返済,repayment,返済…へんさい
へんしゅう,henshuu,編集,editing;compilation;editorial (e.g. committee),編集…へんしゅう
へんじ,henji,返事,reply;answer,返事…へんじ
へんせん,hensen,変遷,change;transition;vicissitudes,変遷…へんせん
へんとう,hentou,返答,reply,返答…へんとう
へんどう,hendou,変動,change;fluctuation,変動…へんどう
べっそう,bessou,別荘,holiday house;villa,別荘…べっそう
べつ,betsu,別,distinction;difference;different;another;particular;separate;extra;exception,別…べつ
べつに,betsuni,別に,(not) particularly;nothing,別に…べつに
べつべつ,betsubetsu,別々,separately;individually,別々…べつべつ
べんかい,benkai,弁解,explanation;justification;defence;excuse,弁解…べんかい
べんきょう,benkyou,勉強,study;diligence;discount;reduction,勉強…べんきょう
べんぎ,bengi,便宜,convenience;accommodation;advantage;expedience,便宜…べんぎ
べんご,bengo,弁護,defense;pleading;advocacy,弁護…べんご
べんしょう,benshou,弁償,next word;compensation;reparation;indemnity;reimbursement,弁償…べんしょう
べんじょ,benjyo,便所,toilet;lavatory;rest room;latrine;comfort station,便所…べんじょ
べんとう,bentou,弁当,box lunch,弁当…べんとう
べんり,benri,便利,convenient;handy;useful,便利…べんり
べんろん,benron,弁論,discussion;debate;argument,弁論…べんろん
ぺこぺこ,pekopeko,,fawn;be very hungry,…ぺこぺこ
ほ,ho,穂,ear (of plant);head (of plant),穂…ほ
ほいく,hoiku,保育,nursing;nurturing;rearing;lactation;suckling,保育…ほいく
ほう,hou,法,Act (law: the X Act),法…ほう
ほう,hou,倣,imitate;follow;emulate,倣…ほう
ほうあん,houan,法案,bill (law),法案…ほうあん
ほうかい,houkai,崩壊,collapse;decay (physics);crumbling;breaking down;caving in,崩壊…ほうかい
ほうがく,hougaku,法学,law;jurisprudence,法学…ほうがく
ほうがく,hougaku,方角,direction;way;compass point,方角…ほうがく
ほうき,houki,放棄,abandonment;renunciation;abdication (responsibility  right),放棄…ほうき
ほうき,houki,宝器,treasured article or vessel;outstanding individual,宝器…ほうき
ほうけん,houken,封建,feudalistic,封建…ほうけん
ほうげん,hougen,方言,dialect,方言…ほうげん
ほうこう,houkou,方向,direction;course;way,方向…ほうこう
ほうこく,houkoku,報告,report;information,報告…ほうこく
ほうさく,housaku,豊作,abundant harvest;bumper crop,豊作…ほうさく
ほうさく,housaku,方策,plan;policy,方策…ほうさく
ほうし,houshi,奉仕,attendance;service,奉仕…ほうし
ほうしき,houshiki,方式,form;method;system,方式…ほうしき
ほうしゃ,housha,放射,radiation;emission,放射…ほうしゃ
ほうしゃのう,houshanou,放射能,radioactivity,放射能…ほうしゃのう
ほうしゅう,houshuu,報酬,remuneration;recompense;reward;toll,報酬…ほうしゅう
ほうしゅつ,houshutsu,放出,release;emit,放出…ほうしゅつ
ほうしん,houshin,方針,objective;plan;policy,方針…ほうしん
ほうじる,houjiru,報じる,to inform;to report,報じる…ほうじる
ほうずる,houzuru,報ずる,to inform;to report,報ずる…ほうずる
ほうせき,houseki,宝石,gem;jewel,宝石…ほうせき
ほうそう,housou,放送,broadcast;broadcasting,放送…ほうそう
ほうそう,housou,包装,packing;wrapping,包装…ほうそう
ほうそく,housoku,法則,law;rule,法則…ほうそく
ほうたい,houtai,包帯,bandage;dressing,包帯…ほうたい
ほうち,houchi,放置,leave as is;leave to chance;leave alone;neglect,放置…ほうち
ほうちょう,houchou,庖丁,kitchen knife;carving knife,庖丁…ほうちょう
ほうてい,houtei,法廷,courtroom,法廷…ほうてい
ほうていしき,houteishiki,方程式,equation,方程式…ほうていしき
ほうどう,houdou,報道,information;report,報道…ほうどう
ほうび,houbi,褒美,reward;prize,褒美…ほうび
ほうふ,houfu,豊富,abundance;wealth;plenty;bounty,豊富…ほうふ
ほうほう,houhou,方法,method;manner;way;means;technique,方法…ほうほう
ほうむる,houmuru,葬る,to bury;to inter;to entomb;to consign to oblivion;to shelve,葬る…ほうむる
ほうめん,houmen,方面,direction;district;field (e.g.  of study),方面…ほうめん
ほうもん,houmon,訪問,call;visit,訪問…ほうもん
ほうりこむ,hourikomu,放り込む,to throw into,放り込む…ほうりこむ
ほうりだす,houridasu,放り出す,to throw out;to fire;to expel;to give up;to abandon;to neglect,放り出す…ほうりだす
ほうりつ,houritsu,法律,law,法律…ほうりつ
ほうる,houru,放る,to let go,放る…ほうる
ほうわ,houwa,飽和,saturation,飽和…ほうわ
ほえる,hoeru,吠える,to bark;to bay;to howl;to bellow;to roar;to cry,吠える…ほえる
ほお,hoo,頬,cheek (of face),頬…ほお
ほおん,hoon,保温,retaining warmth;keeping heat in;heat insulation,保温…ほおん
ほか,hoka,他,other,他…ほか
ほか,hoka,他,other,他…ほか
ほかく,hokaku,捕獲,capture;seizure,捕獲…ほかく
ほかん,hokan,保管,charge;custody;safekeeping;deposit;storage,保管…ほかん
ほがらか,hogaraka,朗らか,brightness;cheerfulness;melodious,朗らか…ほがらか
ほきゅう,hokyuu,補給,supply;supplying;replenishment,補給…ほきゅう
ほきょう,hokyou,補強,compensation;reinforcement,補強…ほきょう
ほけん,hoken,保険,insurance;guarantee,保険…ほけん
ほけん,hoken,保健,health preservation;hygiene;sanitation,保健…ほけん
ほげい,hogei,捕鯨,whaling;whale fishing,捕鯨…ほげい
ほこり,hokori,誇り,pride,誇り…ほこり
ほこり,hokori,埃,dust,埃…ほこり
ほこる,hokoru,誇る,to boast of;to be proud of,誇る…ほこる
ほころびる,hokorobiru,綻びる,to come apart at the seams;to begin to open;to smile broadly,綻びる…ほころびる
ほご,hogo,保護,care;protection;shelter;guardianship;favor;patronage,保護…ほご
ほし,hoshi,星,star,星…ほし
ほし,hoshi,乾,dried;cured,乾…ほし
ほしい,hoshii,欲しい,wanted;wished for;in need of;desired,欲しい…ほしい
ほしもの,hoshimono,干し物,dried washing (clothes),干し物…ほしもの
ほしゅ,hoshu,保守,conservative;maintaining,保守…ほしゅ
ほしょう,hoshou,保障,guarantee;security;assurance;pledge;warranty,保障…ほしょう
ほしょう,hoshou,補償,compensation;reparation,補償…ほしょう
ほしょう,hoshou,保証,guarantee;security;assurance;pledge;warranty,保証…ほしょう
ほじゅう,hojyuu,補充,supplementation;supplement;replenishment;replenishing,補充…ほじゅう
ほじょ,hojyo,補助,assistance;support;aid;auxiliary,補助…ほじょ
ほす,hosu,干す,to air;to dry;to desiccate;to drain (off);to drink up,干す…ほす
ほそい,hosoi,細い,thin;slender;fine,細い…ほそい
ほそう,hosou,舗装,pavement;road surface,舗装…ほそう
ほそく,hosoku,補足,supplement;complement,補足…ほそく
ほぞん,hozon,保存,preservation;conservation;storage;maintenance,保存…ほぞん
ほっきょく,hokyoku,北極,North Pole,北極…ほっきょく
ほっさ,hosa,発作,fit;spasm,発作…ほっさ
ほっと,hoto,,feel relieved,…ほっと
ほっぺた,hoppeta,頬っぺた,cheek,頬っぺた…ほっぺた
ほとり,hotori,辺り,(in the) neighbourhood;vicinity;nearby,辺り…ほとり
ほとんど,hotondo,殆ど,mostly;almost,殆ど…ほとんど
ほど,hodo,程,degree;extent;bounds;limit,程…ほど
ほどう,hodou,歩道,footpath;walkway;sidewalk,歩道…ほどう
ほどく,hodoku,解く,to unfasten,解く…ほどく
ほどこす,hodokosu,施す,to donate;to give;to conduct;to apply;to perform,施す…ほどこす
ほのお,honoo,炎,flame;blaze,炎…ほのお
ほほえむ,hohoemu,微笑む,to smile,微笑む…ほほえむ
ほぼ,hobo,保母,day care worker in a kindergarten  nursery school  etc.,保母…ほぼ
ほめる,homeru,褒める,to praise;to admire;to speak well,褒める…ほめる
ほよう,hoyou,保養,health preservation;recuperation;recreation,保養…ほよう
ほり,hori,捕吏,constable,捕吏…ほり
ほりょ,horyo,捕虜,prisoner (of war),捕虜…ほりょ
ほる,horu,掘る,to dig;to excavate,掘る…ほる
ほる,horu,彫る,to carve;to engrave;to sculpture;to chisel,彫る…ほる
ほろびる,horobiru,滅びる,to be ruined;to go under;to perish;to be destroyed,滅びる…ほろびる
ほろぼす,horobosu,滅ぼす,to destroy;to overthrow;to wreck;to ruin,滅ぼす…ほろぼす
ほん,hon,本,book;main;head;this;our;counter for long cylindrical things,本…ほん
ほん,hon,本,book;main;head;this;our;counter for long cylindrical things,本…ほん
ほん,hon,本,book;main;head;this;our;counter for long cylindrical things,本…ほん
ほんかく,honkaku,本格,propriety;fundamental rules,本格…ほんかく
ほんかん,honkan,本館,main building,本館…ほんかん
ほんき,honki,本気,seriousness;truth;sanctity,本気…ほんき
ほんごく,hongoku,本国,one's own country,本国…ほんごく
ほんしつ,honshitsu,本質,essence;true nature;reality,本質…ほんしつ
ほんたい,hontai,本体,substance;real form;object of worship,本体…ほんたい
ほんとう,hontou,本当,truth;reality,本当…ほんとう
ほんにん,honnin,本人,the person himself,本人…ほんにん
ほんね,honne,本音,real intention;motive,本音…ほんね
ほんの,honno,本の,mere;only;just,本の…ほんの
ほんのう,honnou,本能,instinct,本能…ほんのう
ほんば,honba,本場,home;habitat;center;best place;genuine,本場…ほんば
ほんぶ,honbu,本部,headquarters,本部…ほんぶ
ほんぶん,honbun,本文,text (of document);body (of letter),本文…ほんぶん
ほんみょう,honmyou,本名,real name,本名…ほんみょう
ほんもの,honmono,本物,genuine article,本物…ほんもの
ほんやく,honyaku,翻訳,translation;de-encryption;deciphering,翻訳…ほんやく
ほんらい,honrai,本来,originally,本来…ほんらい
ぼう,bou,棒,pole;rod;stick,棒…ぼう
ぼう,bou,卯,fourth sign of Chinese zodiac (The Hare  5am-7am  east  February),卯…ぼう
ぼうえい,bouei,防衛,defense;protection;self-defense,防衛…ぼうえい
ぼうえき,boueki,貿易,trade (foreign),貿易…ぼうえき
ぼうえんきょう,bouenkyou,望遠鏡,telescope,望遠鏡…ぼうえんきょう
ぼうか,bouka,防火,fire prevention;fire fighting;fire proof,防火…ぼうか
ぼうがい,bougai,妨害,disturbance;obstruction;hindrance;jamming;interference,妨害…ぼうがい
ぼうけん,bouken,冒険,risk;venture;adventure,冒険…ぼうけん
ぼうさん,bousan,坊さん,Buddhist priest;monk,坊さん…ぼうさん
ぼうし,boushi,帽子,hat,帽子…ぼうし
ぼうし,boushi,防止,prevention;check,防止…ぼうし
ぼうせき,bouseki,紡績,spinning,紡績…ぼうせき
ぼうぜん,bouzen,呆然,dumbfounded;overcome with surprise;in blank amazement,呆然…ぼうぜん
ぼうだい,boudai,膨大,huge;bulky;enormous;extensive;swelling;expansion,膨大…ぼうだい
ぼうちょう,bouchou,膨脹,expansion;swelling;increase;growth,膨脹…ぼうちょう
ぼうとう,boutou,冒頭,beginning;start;outset,冒頭…ぼうとう
ぼうどう,boudou,暴動,insurrection;rebellion;revolt;riot;uprising,暴動…ぼうどう
ぼうはん,bouhan,防犯,prevention of crime,防犯…ぼうはん
ぼうふう,boufuu,暴風,storm;windstorm;gale,暴風…ぼうふう
ぼうや,bouya,坊や,boy,坊や…ぼうや
ぼうりょく,bouryoku,暴力,violence,暴力…ぼうりょく
ぼきん,bokin,募金,fund-raising;collection of funds,募金…ぼきん
ぼくし,bokushi,牧師,pastor;minister;clergyman,牧師…ぼくし
ぼくじょう,bokujyou,牧場,1.  farm (livestock); 2.  pasture land;meadow;grazing land,牧場…ぼくじょう
ぼくちく,bokuchiku,牧畜,stock-farming,牧畜…ぼくちく
ぼこう,bokou,母校,alma mater,母校…ぼこう
ぼこく,bokoku,母国,one's homeland,母国…ぼこく
ぼしゅう,boshuu,募集,recruiting;taking applications,募集…ぼしゅう
ぼっしゅう,boshuu,没収,forfeited,没収…ぼっしゅう
ぼっちゃん,bochan,坊ちゃん,son (of others),坊ちゃん…ぼっちゃん
ぼつぼつ,botsubotsu,,gradually;here and there;spots;pimples,…ぼつぼつ
ぼつらく,botsuraku,没落,ruin;fall;collapse,没落…ぼつらく
ぼやく,boyaku,,to grumble;to complain,…ぼやく
ぼやける,boyakeru,,to become dim;to become blurred,…ぼやける
ぼろ,boro,藍褸,rag;scrap;tattered clothes;fault (esp. in a pretense);defect;run-down or junky,藍褸…ぼろ
ぼん,bon,盆,Lantern Festival;Festival of the Dead;tray,盆…ぼん
ぼんち,bonchi,盆地,basin (e.g. between mountains),盆地…ぼんち
まあ,maa,,you might say,…まあ
まあまあ,maamaa,,so-so,…まあまあ
まい,mai,枚,counter for flat objects (e.g. sheets of paper),枚…まい
まいご,maigo,迷子,lost (stray) child,迷子…まいご
まいすう,maisuu,枚数,the number of flat things,枚数…まいすう
まいぞう,maizou,埋蔵,buried property;treasure trove,埋蔵…まいぞう
まいど,maido,毎度,each time;common service-sector greeting,毎度…まいど
まいる,mairu,参る,to go;to come;to call;to visit;to visit a shrine;to be defeated;to be nonplussed;to be madly in love;to die,参る…まいる
まう,mau,舞う,to dance;to flutter about;to revolve,舞う…まう
まうえ,maue,真上,just above;right overhead,真上…まうえ
まえうり,maeuri,前売り,advance sale;booking,前売り…まえうり
まえおき,maeoki,前置き,preface;introduction,前置き…まえおき
まえもって,maemote,前もって,in advance;beforehand;previously,前もって…まえもって
まかす,makasu,任す,to entrust;to leave to a person,任す…まかす
まかす,makasu,負かす,to defeat,負かす…まかす
まかせる,makaseru,任せる,1.  to entrust to another;to leave to; 2.  to do something at one's leisure,任せる…まかせる
まかなう,makanau,賄う,to give board to;to provide meals;to pay,賄う…まかなう
まがる,magaru,曲がる,to turn;to bend,曲がる…まがる
まき,maki,巻,volume,巻…まき
まぎらわしい,magirawashii,紛らわしい,confusing;misleading;equivocal;ambiguous,紛らわしい…まぎらわしい
まぎれる,magireru,紛れる,to be diverted;to slip into,紛れる…まぎれる
まく,maku,膜,membrane;film,膜…まく
まく,maku,巻く,to wind;to coil;to roll,巻く…まく
まく,maku,蒔く,to sow (seeds),蒔く…まく
まく,maku,撒く,to scatter;to sprinkle;to sow,撒く…まく
まくら,makura,枕,pillow;bolster,枕…まくら
まくる,makuru,捲る,verb suffix to indicate reckless abandon to the activity,捲る…まくる
まけ,make,負け,defeat;loss;losing (a game),負け…まけ
まける,makeru,負ける,to lose;to be defeated,負ける…まける
まげる,mageru,曲げる,to bend;to crook;to lean,曲げる…まげる
まこころ,makokoro,真心,sincerity;devotion,真心…まこころ
まこと,makoto,誠,truth;faith;fidelity;sincerity;trust;confidence;reliance;devotion,誠…まこと
まことに,makotoni,真に,truly;actually;really,真に…まことに
まご,mago,孫,grandchild,孫…まご
まごつく,magotsuku,,to be confused;to be flustered,…まごつく
まごまご,magomago,,confused,…まごまご
まさか,masaka,,Never!;Well  I never!;You don't say!,…まさか
まさしく,masashiku,正しく,surely;no doubt;evidently,正しく…まさしく
まさつ,masatsu,摩擦,friction;rubbing;rubdown;chafe,摩擦…まさつ
まさに,masani,正に,correctly;surely,正に…まさに
まさる,masaru,勝る,to excel;to surpass;to outrival,勝る…まさる
まざる,mazaru,混ざる,to be mixed;to be blended with;to associate with;to mingle with;to join,混ざる…まざる
まざる,mazaru,交ざる,to be mixed;to be blended with;to associate with;to mingle with;to join,交ざる…まざる
まし,mashi,増し,extra;additional;less objectionable;better;preferable,増し…まし
ました,mashita,真下,right under;directly below,真下…ました
まして,mashite,況して,still more;still less (with neg. verb);to say nothing of;not to mention,況して…まして
まじえる,majieru,交える,to mix;to converse with;to cross (swords),交える…まじえる
まじる,majiru,混じる,to be mixed;to be blended with;to associate with;to mingle with;to interest;to join,混じる…まじる
まじる,majiru,交じる,to be mixed;to be blended with;to associate with;to mingle with;to interest;to join,交じる…まじる
まじわる,majiwaru,交わる,to cross;to intersect;to associate with;to mingle with;to interest;to join,交わる…まじわる
ます,masu,増す,to increase;to grow,増す…ます
ますい,masui,麻酔,anaesthesia,麻酔…ますい
ますます,masumasu,益々,increasingly;more and more,益々…ますます
まず,mazu,先ず,first (of all);to start with;about;almost;hardly (with neg. verb);anyway;well;now,先ず…まず
まずい,mazui,不味い,unappetising;unpleasant (taste  appearance  situation);ugly;unskilful;awkward;bungling;unwise;untimely,不味い…まずい
まずしい,mazushii,貧しい,poor,貧しい…まずしい
まぜる,mazeru,混ぜる,to mix;to stir,混ぜる…まぜる
まぜる,mazeru,交ぜる,to be mixed;to be blended with,交ぜる…まぜる
また,mata,股,groin;crotch;thigh,股…また
また,mata,又,again;and,又…また
またがる,matagaru,跨がる,to extend over or into;to straddle,跨がる…またがる
またぐ,matagu,跨ぐ,to straddle,跨ぐ…またぐ
またたき,matataki,瞬き,wink;twinkling (of stars);flicker (of light),瞬き…またたき
または,mataha,又は,or;otherwise,又は…または
まだ,mada,未だ,yet;still;more;besides,未だ…まだ
まち,machi,町,town;street;road,町…まち
まち,machi,町,town;street;road,町…まち
まちあいしつ,machiaishitsu,待合室,waiting room,待合室…まちあいしつ
まちあわせ,machiawase,待ち合わせ,appointment,待ち合わせ…まちあわせ
まちあわせる,machiawaseru,待ち合わせる,to rendezvous;to meet at a prearranged place and time,待ち合わせる…まちあわせる
まちかど,machikado,街角,street corner,街角…まちかど
まちがい,machigai,間違い,mistake,間違い…まちがい
まちがう,machigau,間違う,to make a mistake;to be incorrect;to be mistaken,間違う…まちがう
まちがえる,machigaeru,間違える,to err;to make a mistake,間違える…まちがえる
まちどおしい,machidooshii,待ち遠しい,looking forward to,待ち遠しい…まちどおしい
まちのぞむ,machinozomu,待ち望む,to look anxiously for;to wait eagerly for,待ち望む…まちのぞむ
まちまち,machimachi,区々,1.  several;various;divergent;conflicting;different;diverse; 2.  trivial,区々…まちまち
まっか,maka,真っ赤,deep red;flushed (of face),真っ赤…まっか
まっき,maki,末期,closing years (period  days);last stage,末期…まっき
まっくら,makkura,真っ暗,total darkness;shortsightedness;pitch dark,真っ暗…まっくら
まっくろ,makkuro,真っ黒,pitch black,真っ黒…まっくろ
まっさお,massao,真っ青,deep blue;ghastly pale,真っ青…まっさお
まっさき,massaki,真っ先,the head;the foremost;beginning,真っ先…まっさき
まっしろ,masshiro,真っ白,pure white,真っ白…まっしろ
まっすぐ,massugu,真っ直ぐ,straight (ahead);direct;upright;erect;honest;frank,真っ直ぐ…まっすぐ
まったく,mattaku,全く,really;truly;entirely;completely;wholly;perfectly;indeed,全く…まったく
まっぷたつ,mapputatsu,真っ二つ,in two equal parts,真っ二つ…まっぷたつ
まつ,matsu,待つ,to wait,待つ…まつ
まつ,matsu,松,pine tree;highest (of a three-tier ranking system),松…まつ
まつり,matsuri,祭,festival;feast,祭…まつり
まつり,matsuri,祭,festival;feast,祭…まつり
まつる,matsuru,祭る,to deify;to enshrine,祭る…まつる
まと,mato,的,mark;target,的…まと
まとまり,matomari,纏まり,conclusion;settlement;consistency,纏まり…まとまり
まとまる,matomaru,纏まる,to be collected;to be settled;to be in order,纏まる…まとまる
まとめ,matome,纏め,settlement;conclusion,纏め…まとめ
まとめる,matomeru,纏める,to put in order;to collect;to bring to a conclusion,纏める…まとめる
まど,mado,窓,window,窓…まど
まどぐち,madoguchi,窓口,ticket window,窓口…まどぐち
まなぶ,manabu,学ぶ,to study in depth,学ぶ…まなぶ
まにあう,maniau,間に合う,to be in time for,間に合う…まにあう
まぬかれる,manukareru,免れる,to escape from;to be rescued from;to avoid;to evade;to avert;to elude;to be exempted;to be relieved from pain;to get rid of,免れる…まぬかれる
まね,mane,真似,mimicry;imitation;behavior;pretense,真似…まね
まねき,maneki,招き,invitation,招き…まねき
まねく,maneku,招く,to invite,招く…まねく
まねる,maneru,真似る,to mimic;to imitate,真似る…まねる
まひ,mahi,麻痺,paralysis;palsy;numbness;stupor,麻痺…まひ
まぶしい,mabushii,眩しい,dazzling;radiant,眩しい…まぶしい
まぶた,mabuta,目蓋,eyelid,目蓋…まぶた
まま,mama,間々,occasionally;frequently,間々…まま
まめ,mame,豆,beans;peas,豆…まめ
まもなく,mamonaku,間もなく,soon;before long;in a short time,間もなく…まもなく
まもる,mamoru,守る,to protect;to obey;to guard;to abide (by the rules),守る…まもる
まゆ,mayu,眉,eyebrow,眉…まゆ
まよう,mayou,迷う,to be puzzled;to be perplexed;to lose one's way,迷う…まよう
まり,mari,鞠,ball,鞠…まり
まる,maru,丸,circle;full (month);perfection;purity;suffix for ship names,丸…まる
まるい,marui,丸い,round;circular;spherical,丸い…まるい
まるごと,marugoto,丸ごと,in its entirety;whole;wholly,丸ごと…まるごと
まるっきり,marukkiri,丸っきり,completely;perfectly;just as if,丸っきり…まるっきり
まるで,marude,丸で,quite;entirely;completely;at all;as if;as though;so to speak,丸で…まるで
まるまる,marumaru,丸々,completely,丸々…まるまる
まるめる,marumeru,丸める,to make round;to round off;to roll up;to curl up;to seduce;to cajole;to explain away,丸める…まるめる
まれ,mare,稀,rare,稀…まれ
まわす,mawasu,回す,to turn;to revolve,回す…まわす
まわり,mawari,回り,circumference;surroundings;circulation,回り…まわり
まわりみち,mawarimichi,回り道,detour,回り道…まわりみち
まわる,mawaru,回る,to turn;to revolve;to visit several places,回る…まわる
まんいん,manin,満員,full house;no vacancy;sold out;standing room only;full (of people);crowded,満員…まんいん
まんが,manga,漫画,comic;cartoon,漫画…まんが
まんげつ,mangetsu,満月,full moon,満月…まんげつ
まんじょう,manjyou,満場,unanimous;whole audience,満場…まんじょう
まんぞく,manzoku,満足,satisfaction,満足…まんぞく
まんてん,manten,満点,perfect score,満点…まんてん
まんなか,mannaka,真ん中,middle;centre;mid-way,真ん中…まんなか
まんねんひつ,mannenhitsu,万年筆,fountain pen,万年筆…まんねんひつ
まんまえ,manmae,真ん前,right in front;under the nose,真ん前…まんまえ
まんまるい,manmarui,真ん丸い,perfectly circular,真ん丸い…まんまるい
み,mi,身,body;main part;oneself;sword,身…み
み,mi,三,(num) three,三…み
みあい,miai,見合い,formal marriage interview,見合い…みあい
みあげる,miageru,見上げる,to look up at;to raise one's eyes;to admire,見上げる…みあげる
みあわせる,miawaseru,見合わせる,to exchange glances;to postpone;to suspend operations;to refrain from performing an action,見合わせる…みあわせる
みえる,mieru,見える,to be seen;to be in sight;to look;to seem;to appear,見える…みえる
みおくり,miokuri,見送り,seeing one off;farewell;escort,見送り…みおくり
みおくる,miokuru,見送る,1.  to see off;to farewell; 2.  to escort; 3.  to let pass;to wait and see; 4.  to let a pitch go by (baseball);to watch a batted ball go into the stands,見送る…みおくる
みおとす,miotosu,見落とす,to overlook;to fail to notice,見落とす…みおとす
みおろす,miorosu,見下ろす,to overlook;to command a view of;to look down on something,見下ろす…みおろす
みかい,mikai,未開,savage land;backward region;uncivilized,未開…みかい
